code_solution_index,n12,m3456,k12,l3456,N,M,K,L,mapped_stefan_index
49,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 1)",38
50,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 1, 0)","(1, 0, 0, 0, 0, 1)",48
51,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","31,33"
52,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)","(1, 0, 0, 1, 0, 0)","30,32"
53,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 0, 1, 0, 0)","(0, 1, 1, 0, 0, 0)","(0, 1, 1, 0, 0, 0)","(1, 0, 0, 1, 0, 0)",37
54,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 1, 0, 0, 0, 1)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)",28
55,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)","(1, 1, 0, 0, 0, 0)",44
56,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",43
57,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)",50
58,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 1, 1, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 1)","(1, 0, 1, 0, 0, 0)",47
